Nation,Guessed,Representation,Email,Attempted,Success,Email_2,Attempted,Success
 Bahrain,0,Embassy of Bahrain in London,Political@bahrainembassy.co.uk,0,0,None,0,0
 Iran,0,Embassy of Iran in London,information@iranembassyorg.uk,0,0,None,0,0
 Iraq,0,Embassy of Iraq in London,lonemb@iraqmofamail.net,0,0,None,0,0
 Iraq,0,Consulate of Iraq in London,lonemb@iraqmofamail.net,0,0,None,0,0
 Iraq,0,Consulate General of Iraq in Manchester,mcr.iqcons@yahoo.co.uk,0,0,None,0,0
 Israel,0,Embassy of Israel in London,consular10@london.mfa.gov.il,0,0,None,0,0
 Jordan,0,Embassy of Jordan in London,london@fm.gov.jo,0,0,consulate.london@fm.gov.jo,0,0
 Kuwait,0,Embassy of Kuwait in London,kuwait@dircon.co.uk,0,0,None,0,0
 Lebanon,0,Embassy of Lebanon in London,consulateuk@lebanon-embassy.org,0,0,emb.leb@btinternet.com,0,0
 Qatar,0,Embassy of Qatar in London,london@mofa.gov.qa,0,0,None,0,0
 Saudi Arabia,0,Embassy of Saudi Arabia in London,ukemb@mofa.gov.sa,0,0,None,0,0
 United Arab Emirates,0,Embassy of United Arab Emirates in London,LondonEmb.Info@mofaic.gov.ae,0,0,None,0,0
 Yemen,0,Embassy of Yemen in London,info@yemenembassy.org.uk,0,0,None,0,0
 Canada,0,Consulate General of Canada in Belfast,honconcanbelfast@yahoo.co.uk,0,0,None,0,0
 Canada,0,Consulate General of Canada in Wales,dan.clayton-jones@talk21.com,0,0,None,0,0
 Canada,0,High Commission of Canada in London,ldn.consular@international.gc.ca,0,0,None,0,0
 Canada,0,Consulate General of Canada in Edinburgh,canadianhonoraryconsulscotland@gmail.com,0,0,None,0,0
 Mexico,0,Embassy of Mexico in London,consulmexuk@sre.gob.mx,0,0,None,0,0
 United States,0,Consulate General of United States in Edinburgh,Edinburgh-Info@state.gov,0,0,None,0,0
 United States,0,Embassy of United States in London,londonpassports@state.gov,0,0,None,0,0
 Fiji,0,High Commission of Fiji in London,mail@fijihighcommission.org.uk,0,0,None,0,0
 Kiribati,0,Embassy of Kiribati in Monmouthshire,mravellwalsh@btopenworld.com,0,0,None,0,0
 Nauru,0,Honorary Consulate of Nauru in London,nauru@weald.co.uk,0,0,None,0,0
 New Zealand,0,High Commission of New Zealand in London,enquiries@newzealandhc.org.uk,0,0,None,0,0
 Papua New Guinea,0,High Commission of Papua New Guinea in London,jkekedo@aol.com,0,0,None,0,0
 Tonga,0,High Commission of Tonga in London,fetu@btinternet.com,0,0,None,0,0
 Argentina,0,Embassy of Argentina in London,eruni@mrecic.gov.ar,0,0,None,0,0
 Argentina,0,Consulate General of Argentina in London,eruni@mrecic.gov.ar,0,0,None,0,0
 Bolivia,0,Embassy of Bolivia in London,embol@bolivianembassy.co.uk,0,0,None,0,0
 Brazil,0,Consulate General of Brazil in London,info.london@itamaraty.gov.br,0,0,None,0,0
 Brazil,0,Embassy of Brazil in London,info.london@itamaraty.gov.br,0,0,None,0,0
 Chile,0,Embassy of Chile in London,embachile@embachile.co.uk,0,0,None,0,0
 Colombia,0,Embassy of Colombia in London,elondres@cancilleria.gov.co,0,0,None,0,0
 Ecuador,0,Embassy of Ecuador in London,embassy.ecuador@btclick.com,0,0,None,0,0
 Guyana,0,High Commission of Guyana in London,guyanahc1@btconnect.com,0,0,None,0,0
 Paraguay,0,Embassy of Paraguay in London,kingdomunidoembaparsc@mre.gov.py,0,0,None,0,0
 Peru,0,Consulate General of Peru in London,postmaster@peruembassy-uk.com,0,0,None,0,0
 Peru,0,Permanent Representation of Peru in London,postmaster@peruembassy-uk.com,0,0,None,0,0
 Peru,0,Embassy of Peru in London,postmaster@peruembassy-uk.com,0,0,None,0,0
 Uruguay,0,Embassy of Uruguay in London,emburuguay@emburuguay.org.uk,0,0,None,0,0
 Venezuela,0,Embassy of Venezuela in London,info@venezlon.co.uk,0,0,None,0,0
